Route,Min Gap,Vehicle,Delay,Direction_e,Direction_n,Direction_s,Direction_w,Incident_Diversion,Incident_Emergency Services,Incident_General Delay,Incident_Held By,Incident_Investigation,Incident_Late Leaving Garage,Incident_Mechanical,Incident_Overhead - Pantograph,Incident_Utilized Off Route,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Year,Month,Day,Hour
505,8,4018,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,1,2,6
504,22,4128,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,12
501,19,4016,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,14
504,11,4175,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,14
504,6,4080,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,16
501,13,4202,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,17
504,7,4100,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,18
510,22,4123,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,19
504,14,4079,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,1,3,1
512,6,4160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4037,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
511,11,4168,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4036,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4082,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4127,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4166,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4152,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4040,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,11,4147,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
506,11,4178,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
511,11,4073,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
501,12,4251,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,12
506,11,4164,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,15
503,32,4137,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,4
502,32,4004,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4201,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,8,4026,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
512,5,4080,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,12,4098,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
501,11,4202,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
502,24,4041,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
512,5,4188,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,0,4125,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,3,6
501,14,4118,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,3,5
505,12,4200,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,0,4141,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,5
501,11,4216,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
511,10,4136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,1,7,6
504,18,4147,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
502,0,4012,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
512,14,4155,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
502,24,4078,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
501,11,4219,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,12
501,11,4229,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
501,11,4212,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
505,11,4175,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
512,11,4198,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
512,5,4180,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
504,11,4064,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,15
501,20,4215,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,18
506,11,4170,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
512,5,4089,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,40,4217,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,30,4203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
501,20,4232,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
511,11,4062,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
505,16,4067,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,19
512,5,4021,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,20
512,4,4095,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
512,5,4193,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,9
511,11,4191,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
511,11,4094,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
506,11,4160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
501,11,4149,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
509,6,9446,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,17
501,11,5208,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,11,4227,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,15
511,8,4062,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,5
512,5,4141,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
502,20,4121,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1,7,14
501,27,4218,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,1,7,19
512,5,4191,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1,7,19
501,20,4213,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,21
504,10,4064,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
504,10,4147,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,12
511,8,4165,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
501,10,4125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
502,32,5041,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,16
501,20,4211,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,17
511,10,4163,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,4
511,11,4055,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,4
512,5,4047,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,4
512,5,4189,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,4
505,10,4138,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4175,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4181,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4196,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
505,10,4181,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4195,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,11,4085,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
511,11,4185,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4108,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,11,4186,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
505,11,4058,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,11,4095,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,11,4199,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
504,8,4099,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,11,4028,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
501,98,4219,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,8,4
504,81,4168,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,8,5
505,23,4021,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,1,8,5
501,19,4104,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,8,5
506,8,4070,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
512,5,4149,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
511,8,4226,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
501,10,4133,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,5
504,8,4174,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,6
504,5,4233,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,8
506,8,4131,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,8,6
512,8,4065,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,6
512,8,4065,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,6
501,20,4248,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,6
501,20,4248,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,8
501,28,4251,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,10
506,18,4163,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,14
501,32,4246,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,20
505,7,4012,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,1,15,8
506,30,4163,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,9
511,12,4152,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,1,15,10
506,24,4094,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,10
506,11,4157,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,10
505,16,4036,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,14
504,16,4196,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,15
512,15,4185,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,16
501,24,4093,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,16,17
501,12,4232,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,16,21
512,46,4158,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,22
512,0,4118,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,6
501,10,4203,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,11
505,17,4080,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,16,12
511,11,4088,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,1,17,14
506,79,4062,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,17,15
506,21,4163,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,1,17,0
505,39,4187,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,17,5
512,11,4141,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,1,17,6
506,35,4173,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,9
504,0,4090,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,12
511,35,4002,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,13
511,73,4191,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,14
511,38,4002,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,8
511,19,4062,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,8
301,18,4061,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,8
506,13,4039,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,1,18,12
504,50,4089,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,19
511,17,4118,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,20
501,30,4215,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,20
501,16,7533,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,21
509,8,8181,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2014,1,19,2
511,40,4179,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,18
509,8,7483,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,17
506,16,4109,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,5
501,16,7346,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,6
510,12,7875,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,1,19,6
510,0,4040,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,1,21,6
510,14,4033,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,1,29,7
505,8,4018,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,1,2,6
504,22,4128,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,12
501,19,4016,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,14
504,11,4175,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,14
504,6,4080,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,16
501,13,4202,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,17
504,7,4100,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,1,2,18
510,22,4123,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,1,2,19
504,14,4079,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,1,3,1
512,6,4160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4037,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
511,11,4168,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4036,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4082,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4127,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,6,4166,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4152,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,11,4040,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,11,4147,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
506,11,4178,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
511,11,4073,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,8
501,12,4251,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,12
506,11,4164,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,15
503,32,4137,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,4
502,32,4004,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
501,11,4201,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,8,4026,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
512,5,4080,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
511,12,4098,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
501,11,4202,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
502,24,4041,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
512,5,4188,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,6
506,0,4125,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,3,6
501,14,4118,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,1,3,5
505,12,4200,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1,3,5
512,0,4141,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,5
501,11,4216,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
511,10,4136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,1,7,6
504,18,4147,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
502,0,4012,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
512,14,4155,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
502,24,4078,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
501,11,4219,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,12
501,11,4229,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
501,11,4212,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
505,11,4175,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
512,11,4198,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
512,5,4180,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
504,11,4064,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,15
501,20,4215,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,18
506,11,4170,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
512,5,4089,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,40,4217,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,30,4203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
501,20,4232,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
511,11,4062,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
505,16,4067,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,19
512,5,4021,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,20
512,4,4095,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,8
512,5,4193,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,9
511,11,4191,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
511,11,4094,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
506,11,4160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,10
501,11,4149,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
509,6,9446,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,17
501,11,5208,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
501,11,4227,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,15
511,8,4062,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,5
512,5,4141,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
502,20,4121,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1,7,14
501,27,4218,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,1,7,19
512,5,4191,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1,7,19
501,20,4213,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,21
504,10,4064,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,6
504,10,4147,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,12
511,8,4165,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
501,10,4125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,14
502,32,5041,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,16
501,20,4211,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014,1,7,17
511,10,4163,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2014,1,8,4
